DATE,ASIAN
1/1/2003,5.5
2/1/2003,5.8
3/1/2003,6.5
4/1/2003,6
5/1/2003,5.5
6/1/2003,7.4
7/1/2003,5.9
8/1/2003,6
9/1/2003,6.4
10/1/2003,6.2
11/1/2003,5.2
12/1/2003,5.4
1/1/2004,5
2/1/2004,4.5
3/1/2004,4.3
4/1/2004,4.7
5/1/2004,4.6
6/1/2004,4.6
7/1/2004,3.9
8/1/2004,3.7
9/1/2004,4.5
10/1/2004,4.9
11/1/2004,4.1
12/1/2004,4.2
1/1/2005,4.1
2/1/2005,4.3
3/1/2005,3.9
4/1/2005,4.2
5/1/2005,4.2
6/1/2005,3.6
7/1/2005,4.8
8/1/2005,3.7
9/1/2005,4.3
10/1/2005,3.2
11/1/2005,3.6
12/1/2005,3.8
1/1/2006,3
2/1/2006,3
3/1/2006,3.5
4/1/2006,3.9
5/1/2006,3.3
6/1/2006,3.1
7/1/2006,2.4
8/1/2006,3
9/1/2006,3
10/1/2006,2.8
11/1/2006,3.1
12/1/2006,2.5
1/1/2007,3.1
2/1/2007,2.6
3/1/2007,3
4/1/2007,3.5
5/1/2007,3.2
6/1/2007,2.7
7/1/2007,2.7
8/1/2007,3.5
9/1/2007,3.4
10/1/2007,3.8
11/1/2007,3.6
12/1/2007,3.7
1/1/2008,3.1
2/1/2008,2.9
3/1/2008,3.6
4/1/2008,3.5
5/1/2008,4.1
6/1/2008,4.2
7/1/2008,3.7
8/1/2008,4.5
9/1/2008,4
10/1/2008,3.9
11/1/2008,4.8
12/1/2008,5.1
1/1/2009,6.1
2/1/2009,6.7
3/1/2009,6.5
4/1/2009,6.8
5/1/2009,7
6/1/2009,7.9
7/1/2009,8.1
8/1/2009,7.6
9/1/2009,7.6
10/1/2009,7.6
11/1/2009,7.2
12/1/2009,8.4
1/1/2010,8.3
2/1/2010,8.2
3/1/2010,7.6
4/1/2010,7
5/1/2010,7.8
6/1/2010,7.4
7/1/2010,7.9
8/1/2010,7.3
9/1/2010,6.6
10/1/2010,7.2
11/1/2010,7.5
12/1/2010,7.2
1/1/2011,6.8
2/1/2011,6.7
3/1/2011,7.3
4/1/2011,6.5
5/1/2011,7.2
6/1/2011,6.5
7/1/2011,7.4
8/1/2011,7.2
9/1/2011,8
10/1/2011,7.4
11/1/2011,6.4
12/1/2011,6.8
1/1/2012,6.7
2/1/2012,6.2
3/1/2012,6.4
4/1/2012,5.4
5/1/2012,5.5
6/1/2012,6.1
7/1/2012,5.9
8/1/2012,5.9
9/1/2012,4.9
10/1/2012,4.9
11/1/2012,6.3
12/1/2012,6.6
1/1/2013,6.4
2/1/2013,6
3/1/2013,5.1
4/1/2013,5.3
5/1/2013,4.5
6/1/2013,4.7
7/1/2013,5.3
8/1/2013,5.1
9/1/2013,5.4
10/1/2013,5.4
11/1/2013,5.2
12/1/2013,4.3
1/1/2014,4.7
2/1/2014,5.9
3/1/2014,5.5
4/1/2014,5.9
5/1/2014,5.7
6/1/2014,4.7
7/1/2014,4.2
8/1/2014,4.5
9/1/2014,4.4
10/1/2014,5.1
11/1/2014,4.8
12/1/2014,4.4
1/1/2015,4
2/1/2015,4
3/1/2015,3.2
4/1/2015,4.4
5/1/2015,4.1
6/1/2015,3.9
7/1/2015,3.9
8/1/2015,3.4
9/1/2015,3.5
10/1/2015,3.5
11/1/2015,3.9
12/1/2015,4.1
1/1/2016,3.6
2/1/2016,3.8
3/1/2016,3.9
4/1/2016,3.8
5/1/2016,4.1
6/1/2016,3.6
7/1/2016,3.8
8/1/2016,4.1
9/1/2016,3.8
10/1/2016,3.4
11/1/2016,3.1
12/1/2016,2.7
1/1/2017,3.6
2/1/2017,3.5
3/1/2017,3.2
4/1/2017,3.3
5/1/2017,3.6
6/1/2017,3.7
7/1/2017,3.7
8/1/2017,3.9
9/1/2017,3.6
10/1/2017,3
11/1/2017,3.1
12/1/2017,2.6
1/1/2018,2.9
2/1/2018,3
3/1/2018,3
4/1/2018,2.9
5/1/2018,2.2
6/1/2018,3.3
7/1/2018,3
8/1/2018,2.9
9/1/2018,3.5
10/1/2018,3.2
11/1/2018,2.9
12/1/2018,3.4
1/1/2019,3
2/1/2019,3.1
3/1/2019,3
4/1/2019,2.3
5/1/2019,2.5
6/1/2019,2.1
7/1/2019,2.7
8/1/2019,2.8
9/1/2019,2.5
10/1/2019,2.9
11/1/2019,2.7
12/1/2019,2.7
1/1/2020,3
2/1/2020,2.5
3/1/2020,4.1
4/1/2020,14.4
5/1/2020,14.8
6/1/2020,13.8
7/1/2020,11.9
8/1/2020,10.6
9/1/2020,8.9
10/1/2020,7.6
11/1/2020,6.8
12/1/2020,6.1
1/1/2021,6.6
2/1/2021,5.1
3/1/2021,5.9
4/1/2021,5.7
5/1/2021,5.5
6/1/2021,5.7
7/1/2021,5.2
8/1/2021,4.5
9/1/2021,4.2
10/1/2021,4.2
11/1/2021,3.9
12/1/2021,3.8
1/1/2022,3.6
