DATE,Rate_Men
1/1/2000,3.9
2/1/2000,4.1
3/1/2000,3.8
4/1/2000,3.7
5/1/2000,3.9
6/1/2000,3.8
7/1/2000,3.9
8/1/2000,3.9
9/1/2000,3.9
10/1/2000,3.9
11/1/2000,3.9
12/1/2000,4
1/1/2001,4.2
2/1/2001,4.3
3/1/2001,4.3
4/1/2001,4.5
5/1/2001,4.4
6/1/2001,4.6
7/1/2001,4.6
8/1/2001,5
9/1/2001,4.9
10/1/2001,5.4
11/1/2001,5.7
12/1/2001,5.8
1/1/2002,5.8
2/1/2002,5.8
3/1/2002,5.9
4/1/2002,6
5/1/2002,5.8
6/1/2002,6
7/1/2002,5.9
8/1/2002,5.9
9/1/2002,5.9
10/1/2002,5.8
11/1/2002,6.1
12/1/2002,6.2
1/1/2003,6.2
2/1/2003,6.1
3/1/2003,6.1
4/1/2003,6.4
5/1/2003,6.4
6/1/2003,6.7
7/1/2003,6.6
8/1/2003,6.3
9/1/2003,6.4
10/1/2003,6.2
11/1/2003,6.2
12/1/2003,5.8
1/1/2004,5.7
2/1/2004,5.6
3/1/2004,5.8
4/1/2004,5.7
5/1/2004,5.8
6/1/2004,5.7
7/1/2004,5.5
8/1/2004,5.6
9/1/2004,5.6
10/1/2004,5.6
11/1/2004,5.5
12/1/2004,5.5
1/1/2005,5.4
2/1/2005,5.5
3/1/2005,5.3
4/1/2005,5.1
5/1/2005,5
6/1/2005,5
7/1/2005,4.9
8/1/2005,4.9
9/1/2005,5
10/1/2005,4.8
11/1/2005,5
12/1/2005,4.8
1/1/2006,4.6
2/1/2006,4.8
3/1/2006,4.7
4/1/2006,4.7
5/1/2006,4.7
6/1/2006,4.6
7/1/2006,4.7
8/1/2006,4.7
9/1/2006,4.4
10/1/2006,4.4
11/1/2006,4.5
12/1/2006,4.5
1/1/2007,4.7
2/1/2007,4.7
3/1/2007,4.5
4/1/2007,4.6
5/1/2007,4.6
6/1/2007,4.7
7/1/2007,4.7
8/1/2007,4.7
9/1/2007,4.8
10/1/2007,4.8
11/1/2007,4.8
12/1/2007,5.1
1/1/2008,5.2
2/1/2008,5
3/1/2008,5.2
4/1/2008,5.2
5/1/2008,5.6
6/1/2008,5.8
7/1/2008,6.2
8/1/2008,6.3
9/1/2008,6.7
10/1/2008,7.1
11/1/2008,7.4
12/1/2008,8
1/1/2009,8.6
2/1/2009,9.2
3/1/2009,9.7
4/1/2009,10.1
5/1/2009,10.6
6/1/2009,10.6
7/1/2009,10.5
8/1/2009,10.7
9/1/2009,10.9
10/1/2009,11.1
11/1/2009,11
12/1/2009,10.9
1/1/2010,11
2/1/2010,10.9
3/1/2010,10.9
4/1/2010,10.9
5/1/2010,10.4
6/1/2010,10.4
7/1/2010,10.3
8/1/2010,10.3
9/1/2010,10.2
10/1/2010,10.1
11/1/2010,10.5
12/1/2010,10
1/1/2011,9.7
2/1/2011,9.5
3/1/2011,9.5
4/1/2011,9.6
5/1/2011,9.5
6/1/2011,9.6
7/1/2011,9.5
8/1/2011,9.4
9/1/2011,9.3
10/1/2011,9.2
11/1/2011,8.9
12/1/2011,8.7
1/1/2012,8.4
2/1/2012,8.4
3/1/2012,8.4
4/1/2012,8.3
5/1/2012,8.4
6/1/2012,8.4
7/1/2012,8.3
8/1/2012,8.3
9/1/2012,8
10/1/2012,7.9
11/1/2012,7.9
12/1/2012,7.9
1/1/2013,8.2
2/1/2013,7.8
3/1/2013,7.6
4/1/2013,7.8
5/1/2013,7.9
6/1/2013,7.7
7/1/2013,7.7
8/1/2013,7.7
9/1/2013,7.7
10/1/2013,7.5
11/1/2013,7.2
12/1/2013,6.8
1/1/2014,6.8
2/1/2014,6.9
3/1/2014,6.7
4/1/2014,6.4
5/1/2014,6.4
6/1/2014,6.3
7/1/2014,6.2
8/1/2014,6.3
9/1/2014,5.9
10/1/2014,5.6
11/1/2014,5.9
12/1/2014,5.7
1/1/2015,5.8
2/1/2015,5.6
3/1/2015,5.6
4/1/2015,5.5
5/1/2015,5.7
6/1/2015,5.3
7/1/2015,5.2
8/1/2015,5.1
9/1/2015,5.1
10/1/2015,5.1
11/1/2015,5.2
12/1/2015,5.1
1/1/2016,4.8
2/1/2016,4.9
3/1/2016,4.9
4/1/2016,5.1
5/1/2016,4.8
6/1/2016,4.9
7/1/2016,5
8/1/2016,5
9/1/2016,5.1
10/1/2016,5
11/1/2016,4.9
12/1/2016,4.8
1/1/2017,4.7
2/1/2017,4.6
3/1/2017,4.5
4/1/2017,4.4
5/1/2017,4.3
6/1/2017,4.3
7/1/2017,4.4
8/1/2017,4.5
9/1/2017,4.3
10/1/2017,4.3
11/1/2017,4.3
12/1/2017,4.2
1/1/2018,4.1
2/1/2018,4
3/1/2018,4
4/1/2018,4.1
5/1/2018,4
6/1/2018,4.1
7/1/2018,3.8
8/1/2018,3.9
9/1/2018,3.8
10/1/2018,3.9
11/1/2018,3.7
12/1/2018,4
1/1/2019,4
2/1/2019,3.8
3/1/2019,3.9
4/1/2019,3.8
5/1/2019,3.7
6/1/2019,3.6
7/1/2019,3.7
8/1/2019,3.7
9/1/2019,3.6
10/1/2019,3.7
11/1/2019,3.6
12/1/2019,3.5
1/1/2020,3.5
2/1/2020,3.5
3/1/2020,4.4
4/1/2020,13.5
5/1/2020,12.1
6/1/2020,10.5
7/1/2020,9.7
8/1/2020,8.3
9/1/2020,7.7
10/1/2020,7
11/1/2020,7
12/1/2020,6.7
1/1/2021,6.4
2/1/2021,6.4
3/1/2021,6.2
4/1/2021,6.2
5/1/2021,6
6/1/2021,6
7/1/2021,5.6
8/1/2021,5.3
9/1/2021,5
10/1/2021,4.5
11/1/2021,4.2
12/1/2021,3.9
