date,EMRATIO,UNEMPLOY
2000-01-01,64.6,5708.0
2000-02-01,64.6,5858.0
2000-03-01,64.6,5733.0
2000-04-01,64.7,5481.0
2000-05-01,64.4,5758.0
2000-06-01,64.5,5651.0
2000-07-01,64.2,5747.0
2000-08-01,64.2,5853.0
2000-09-01,64.2,5625.0
2000-10-01,64.2,5534.0
2000-11-01,64.3,5639.0
2000-12-01,64.4,5634.0
2001-01-01,64.4,6023.0
2001-02-01,64.3,6089.0
2001-03-01,64.3,6141.0
2001-04-01,64.0,6271.0
2001-05-01,63.8,6226.0
2001-06-01,63.7,6484.0
2001-07-01,63.7,6583.0
2001-08-01,63.2,7042.0
2001-09-01,63.5,7142.0
2001-10-01,63.2,7694.0
2001-11-01,63.0,8003.0
2001-12-01,62.9,8258.0
2002-01-01,62.7,8182.0
2002-02-01,63.0,8215.0
2002-03-01,62.8,8304.0
2002-04-01,62.7,8599.0
2002-05-01,62.9,8399.0
2002-06-01,62.7,8393.0
2002-07-01,62.7,8390.0
2002-08-01,62.7,8304.0
2002-09-01,63.0,8251.0
2002-10-01,62.7,8307.0
2002-11-01,62.5,8520.0
2002-12-01,62.4,8640.0
2003-01-01,62.5,8520.0
2003-02-01,62.5,8618.0
2003-03-01,62.4,8588.0
2003-04-01,62.4,8842.0
2003-05-01,62.3,8957.0
2003-06-01,62.3,9266.0
2003-07-01,62.1,9011.0
2003-08-01,62.1,8896.0
2003-09-01,62.0,8921.0
2003-10-01,62.1,8732.0
2003-11-01,62.3,8576.0
2003-12-01,62.2,8317.0
2004-01-01,62.3,8370.0
2004-02-01,62.3,8167.0
2004-03-01,62.2,8491.0
2004-04-01,62.3,8170.0
2004-05-01,62.3,8212.0
2004-06-01,62.4,8286.0
2004-07-01,62.5,8136.0
2004-08-01,62.4,7990.0
2004-09-01,62.3,7927.0
2004-10-01,62.3,8061.0
2004-11-01,62.5,7932.0
2004-12-01,62.4,7934.0
2005-01-01,62.4,7784.0
2005-02-01,62.4,7980.0
2005-03-01,62.4,7737.0
2005-04-01,62.7,7672.0
2005-05-01,62.8,7651.0
2005-06-01,62.7,7524.0
2005-07-01,62.8,7406.0
2005-08-01,62.9,7345.0
2005-09-01,62.8,7553.0
2005-10-01,62.8,7453.0
2005-11-01,62.7,7566.0
2005-12-01,62.8,7279.0
2006-01-01,62.9,7064.0
2006-02-01,63.0,7184.0
2006-03-01,63.1,7072.0
2006-04-01,63.0,7120.0
2006-05-01,63.1,6980.0
2006-06-01,63.1,7001.0
2006-07-01,63.0,7175.0
2006-08-01,63.1,7091.0
2006-09-01,63.1,6847.0
2006-10-01,63.3,6727.0
2006-11-01,63.3,6872.0
2006-12-01,63.4,6762.0
2007-01-01,63.3,7116.0
2007-02-01,63.3,6927.0
2007-03-01,63.3,6731.0
2007-04-01,63.0,6850.0
2007-05-01,63.0,6766.0
2007-06-01,63.0,6979.0
2007-07-01,62.9,7149.0
2007-08-01,62.7,7067.0
2007-09-01,62.9,7170.0
2007-10-01,62.7,7237.0
2007-11-01,62.9,7240.0
2007-12-01,62.7,7645.0
2008-01-01,62.9,7685.0
2008-02-01,62.8,7497.0
2008-03-01,62.7,7822.0
2008-04-01,62.7,7637.0
2008-05-01,62.5,8395.0
2008-06-01,62.4,8575.0
2008-07-01,62.2,8937.0
2008-08-01,62.0,9438.0
2008-09-01,61.9,9494.0
2008-10-01,61.7,10074.0
2008-11-01,61.4,10538.0
2008-12-01,61.0,11286.0
2009-01-01,60.6,12058.0
2009-02-01,60.3,12898.0
2009-03-01,59.9,13426.0
2009-04-01,59.8,13853.0
2009-05-01,59.6,14499.0
2009-06-01,59.4,14707.0
2009-07-01,59.3,14601.0
2009-08-01,59.1,14814.0
2009-09-01,58.7,15009.0
2009-10-01,58.5,15352.0
2009-11-01,58.6,15219.0
2009-12-01,58.3,15098.0
2010-01-01,58.5,15046.0
2010-02-01,58.5,15113.0
2010-03-01,58.5,15202.0
2010-04-01,58.7,15325.0
2010-05-01,58.6,14849.0
2010-06-01,58.5,14474.0
2010-07-01,58.5,14512.0
2010-08-01,58.6,14648.0
2010-09-01,58.5,14579.0
2010-10-01,58.3,14516.0
2010-11-01,58.2,15081.0
2010-12-01,58.3,14348.0
2011-01-01,58.3,14013.0
2011-02-01,58.4,13820.0
2011-03-01,58.4,13737.0
2011-04-01,58.4,13957.0
2011-05-01,58.3,13855.0
2011-06-01,58.2,13962.0
2011-07-01,58.2,13763.0
2011-08-01,58.3,13818.0
2011-09-01,58.4,13948.0
2011-10-01,58.4,13594.0
2011-11-01,58.6,13302.0
2011-12-01,58.6,13093.0
2012-01-01,58.4,12797.0
2012-02-01,58.5,12813.0
2012-03-01,58.5,12713.0
2012-04-01,58.4,12646.0
2012-05-01,58.5,12660.0
2012-06-01,58.6,12692.0
2012-07-01,58.5,12656.0
2012-08-01,58.4,12471.0
2012-09-01,58.7,12115.0
2012-10-01,58.8,12124.0
2012-11-01,58.7,12005.0
2012-12-01,58.7,12298.0
2013-01-01,58.6,12471.0
2013-02-01,58.6,11950.0
2013-03-01,58.5,11689.0
2013-04-01,58.6,11760.0
2013-05-01,58.6,11654.0
2013-06-01,58.6,11751.0
2013-07-01,58.7,11335.0
2013-08-01,58.7,11279.0
2013-09-01,58.7,11270.0
2013-10-01,58.3,11136.0
2013-11-01,58.6,10787.0
2013-12-01,58.7,10404.0
2014-01-01,58.8,10202.0
2014-02-01,58.7,10349.0
2014-03-01,58.9,10380.0
2014-04-01,58.9,9702.0
2014-05-01,58.9,9859.0
2014-06-01,59.0,9460.0
2014-07-01,59.0,9608.0
2014-08-01,59.0,9599.0
2014-09-01,59.1,9262.0
2014-10-01,59.3,8990.0
2014-11-01,59.2,9090.0
2014-12-01,59.3,8717.0
2015-01-01,59.3,8885.0
2015-02-01,59.2,8599.0
2015-03-01,59.2,8515.0
2015-04-01,59.3,8550.0
2015-05-01,59.4,8834.0
2015-06-01,59.4,8247.0
2015-07-01,59.3,8167.0
2015-08-01,59.4,7992.0
2015-09-01,59.2,7907.0
2015-10-01,59.3,7922.0
2015-11-01,59.4,8000.0
2015-12-01,59.6,7907.0
2016-01-01,59.7,7627.0
2016-02-01,59.8,7702.0
2016-03-01,59.8,7961.0
2016-04-01,59.7,8067.0
2016-05-01,59.7,7652.0
2016-06-01,59.7,7744.0
2016-07-01,59.8,7641.0
2016-08-01,59.8,7784.0
2016-09-01,59.7,7953.0
2016-10-01,59.7,7811.0
2016-11-01,59.7,7553.0
2016-12-01,59.7,7521.0
2017-01-01,59.9,7468.0
2017-02-01,60.0,7379.0
2017-03-01,60.2,7073.0
2017-04-01,60.2,7089.0
2017-05-01,60.1,7000.0
2017-06-01,60.1,6873.0
2017-07-01,60.2,6892.0
2017-08-01,60.1,7082.0
2017-09-01,60.4,6854.0
2017-10-01,60.1,6700.0
2017-11-01,60.1,6774.0
2017-12-01,60.1,6632.0
2018-01-01,60.2,6505.0
2018-02-01,60.4,6586.0
2018-03-01,60.4,6457.0
2018-04-01,60.4,6448.0
2018-05-01,60.5,6188.0
2018-06-01,60.4,6446.0
2018-07-01,60.5,6173.0
2018-08-01,60.3,6167.0
2018-09-01,60.4,6065.0
2018-10-01,60.5,6230.0
2018-11-01,60.5,6132.0
2018-12-01,60.6,6379.0
2019-01-01,60.6,6458.0
2019-02-01,60.8,6122.0
2019-03-01,60.7,6166.0
2019-04-01,60.6,5898.0
2019-05-01,60.6,5935.0
2019-06-01,60.7,5906.0
2019-07-01,60.8,5984.0
2019-08-01,60.8,5993.0
2019-09-01,60.9,5766.0
2019-10-01,60.9,5980.0
2019-11-01,61.0,5930.0
2019-12-01,61.0,5861.0
2020-01-01,61.1,5826.0
2020-02-01,61.2,5717.0
2020-03-01,59.9,7165.0
2020-04-01,51.3,23038.0
2020-05-01,52.8,20940.0
2020-06-01,54.7,17616.0
2020-07-01,55.2,16288.0
2020-08-01,56.5,13532.0
2020-09-01,56.6,12584.0
2020-10-01,57.4,11115.0
2020-11-01,57.4,10777.0
2020-12-01,57.4,10789.0
2021-01-01,57.5,10180.0
2021-02-01,57.6,9992.0
2021-03-01,57.8,9691.0
2021-04-01,57.9,9719.0
2021-05-01,58.0,9251.0
2021-06-01,58.0,9502.0
2021-07-01,58.4,8671.0
2021-08-01,58.5,8339.0
2021-09-01,58.8,7666.0
2021-10-01,58.9,7375.0
2021-11-01,59.3,6802.0
2021-12-01,59.5,6319.0
2022-01-01,59.7,6513.0
2022-02-01,59.9,6270.0
